,Date,Year,Time,Crash_location,Organisation,Flight_num,Route,Ac_type,Ground_fatalities_num,Summary,Month,Crash_location_country,Crash_location_ISO,Crash_location_city,Crash_location_city_longitude,Crash_location_city_latitude,Total onboard,Passengers onboard,Crew onboard,Onboard deaths,Passengers dead,Crew dead,all deaths,Total survivors,Passengers survivors,Crew survivors
473,27,1991,08:51,"Stockholm, Sweden",Scandinavian Airlines (SAS),751,Stockholm-Copenhagen-Warsaw,Mc Donnell Douglas MD-81,0,"The aircraft reached an altitude of 3,000 feet and then made an emergency descent, clipping trees and made a belly landing in a field, breaking into 3 parts but staying together. Failure of both engines. Improper deicing of the aircraft led to chunks of ice breaking off and being ingested into both engines, leading to engine failure.  The crew  correctly reduced engine power but this aircraft was equipped with a new software feature called ""automatic thrust restoration"", which overrode the reduction of engine power, Consequently, the engines spooled back up until they tore themselves apart. No one at the airline knew the software was install on the plane. The aircraft was named Dana Viking.",December,Sweden,SE,Stockholm,59.32938,18.06871,129,123,6,0,0,0,0,129,123,6
474,01,1977,14:00,"Stevens Pass,  Washington",Kenmore Air  - Air Taxi,751,"Kenmore, WA - Lake Hatheume, Canada",de Havilland DHC-2,0,Low flight through canyon approacing mountain pass. Unable to outclimb rising terrain. Plane exceed gross takeoff weight and aft center of gravity.,October,Washington,US,Washington,38.89511,-77.03637,7,6,1,7,6,1,7,0,0,0
475,21,1932,14:00,"Steubenville, Ohio",Trans Continental and Western Air,751,Columbus - McKeesport,Northrop Alpha,0,The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.,March,Ohio,US,Steubenville,40.36979,-80.63396,1,0,1,1,0,1,1,0,0,0
481,17,2008,16:30,"Stehekin, Washington",Chelan Air Service,751,Chelan - Stehekin,de Havilland Canada DHC-2 Mark I Beaver,0,The float plane flipped and crashed as it attempted to land in Lake Chelan near Stehekin Lodge. It appeared the plane's wheels were deployed even though it was landing on water. The pilot's failure to retract the landing gear wheels prior to performing a water landing. Contributing to the accident were the pilot's disabling of the landing gear warning/advisory system and possible fatigue due to his work schedule.,May,Washington,US,Washington,38.89511,-77.03637,5,4,1,2,2,0,2,3,2,1
482,30,1972,07:43,"Steamboat, Nevada",Casino Air - Air Taxi,751,Sightseeing,Beechcraft U206C,0,The aircraft flew into a blind canyon. Stalled and crashed into rising terrain while in a turnaround.,June,Nevada,US,Nevada,37.83921,-94.35467,5,4,1,2,1,1,2,3,3,0
483,29,1963,18:33,"Ste. Therese de Blainville, Canada",Trans Canada Air Lines,831,Montreal - Toronto,McDonnell Douglas DC-8F-54F,0,The aircraft crashed about 5 minutes after leaving Dorval Airport in Montreal. Icing of the pitot system or failure of the vertical gyro or an unprogrammed and unnoticed extension of the Pitch Trim Compensator.,November,Canada,CA,Blainville,45.66678,-73.88249,118,111,7,118,111,7,118,0,0,0
485,16,1960,10:33,"Staten Island / Brooklyn, New York",United Air Lines / Trans World Airlines,826/266,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,6,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.",December,New York,US,Brooklyn,39.23039,-76.60219,128,116,12,128,116,12,134,0,0,0
486,08,2009,10:33,"State of Arunachal Pradesh, India",Military - Indian Air Force,826/266,Mechuka - Jorhat,Antonov An-32,0,The military transport went missing while en route and might have crashed due to heavy rain in the mountainous region.,June,India,IN,Indi,17.17735,75.9526,13,6,7,13,6,7,13,0,0,0
487,07,1975,19:25,"State College, Pennsylvania",Quakertown Aviation - Air Taxi,826/266,"Latrobe, PA - State College, PA",NA Rockwell 112,0,"Collided with mountain at 1,500 ft. while attempting to land. Misjudged altitude and clearance.",November,Pennsylvania,US,State College,40.79339,-77.86,4,3,1,4,3,1,4,0,0,0
490,05,1929,03:33,"Stafford Springs, Connecticut",Colonial Air Transport,205,Voronezh - Stalingrad,Fairchild FC-2,0,Struck a mountain slope  in poor weather.,January,Connecticut,US,Spring,30.07994,-95.41716,1,0,1,1,0,1,1,0,0,0
500,30,1941,22:10,"St. Thomas, Ontario, Canada",American Airlines,1,New York - Buffalo - Chicago - Detroit,Douglas DC-3,0,"The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown.",October,Canada,CA,St. Thomas,42.77361,-81.18038,20,17,3,20,17,3,20,0,0,0
505,27,1968,17:57,"St. Louis, Missouri",Ozark Air Lines / Private,1,"Peoria, IL - St. Louis, MO",McDonnell Douglas DC-9 and Cessna 150F,0,"Midair collision. Both planes were in a landing pattern. The collision resulted in damage to the DC9's wing with fuel pouring out but the plane was able to make a safe landing.  Two killed on the Cessna, no one killed on the DC-9.  Inadequacy of current VFR standards. The DC-9 crew not sighting the Cessna in time to avoid it. Congested traffic pattern.",March,Missouri,US,St. Louis,38.62727,-90.19789,51,45,6,2,1,1,2,49,44,5
506,23,1968,13:00,"St. Louis, Missouri",Fortaire Aviation - Air Taxi,1,"Peoria, IL - St. Louis, MO",Brantly 305,0,Crashed while attempting to land. Sank into the Mississippi River. Improper compensation for wind conditions.,March,Missouri,US,St. Louis,38.62727,-90.19789,5,4,1,3,2,1,3,2,2,0
507,23,1973,16:43,"St. Louis, Missouri",Ozark Air Lines,809,"Marion, IL - St. Louis",Fairchild-Hiller FH-227B,0,"The aircraft crashed after attempting to land in thunderstorms with heavy rain and high winds. After passing the outer marker, the aircraft descended below the glide slope, entered an area of heavy rain, was struck by lightning and crashed into the ground short of the runway. The aircraft's encounter with a downdraft following the captain's decision to initiate and continue an instrument approach into a thunderstorm. Lack of a timely issuance of a severe weather warning by the National Weather Service.",July,Missouri,US,St. Louis,38.62727,-90.19789,44,41,3,38,37,1,38,6,4,2
508,05,1936,22:00,"St. Louis, Missouri",Chicago Southern Airlines,4,New Orleans - Chicago,Lockheed 10B Electra,0,"Crashed while attempting to take off from Lambert Field.  The making of a turn at an extremely low altitude, for reasons unknown, in which the wing of the airplane unintentionally contacted the ground.",August,Missouri,US,St. Louis,38.62727,-90.19789,8,6,2,8,6,2,8,0,0,0
510,05,1996,09:50,"St. Johns, Arizona",Business Air Connection,4,"St. Johns, AZ - Brownsville, TX",ConvairCV-440,0,"The cargo plane was unable to gain altitude while attempting to takeoff, overran the runway and hit power lines and a conrete barrier. Inadequate pre-flight planning and preparation by the PIC, his failure to ensure the aircraft was properly loaded within limitations, his failure to use proper flaps for takeoff, his failure to use ADI (Antidetonation Injection) assisted takeoff, and his resultant failure to attain sufficient airspeed to climb after takeoff. Factors relating to the accident were: the high density altitude, and the PIC's lack of experience in the make and model of airplane.",February,Arizona,US,St. Johns,30.0815,-81.54774,4,2,2,4,2,2,4,0,0,0
517,07,1966,13:29,"Srinagar, India",Indian Airlines,1658,Srinngar - Jammu - Amritsar - Delhi,Fokker F-27 Friendship 200,0,"Crashed into high terrain, 12 miles west of its proper course, due to a navigation error. Abandonment of the ILS approach at too early a stage during an attempt to land under conditions of poor visibility in fog.",February,India,IN,Srinagar,34.08565,74.80555,37,33,4,37,33,4,37,0,0,0
519,31,1931,c 10:00,"Springfield, Ohio",American Airways,1658,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,0,"Under orders from his supervisor, the pilot took off in extremely poor weather conditions. After encountering fog he attempted to turn back to the airport but a wing tip struck a knoll and the plane crashed.",December,Ohio,US,Springfield,30.15326,-85.61132,5,4,1,4,4,0,4,1,0,1
520,05,1983,12:00,"Springfield, Missouri",Air Taxi - Ozark Skyways Inc.,1658,"Little Rock, AR - Springfield, MO",Cessna 182R,0,"While on final approach the aircraft hit tree tops and crashed 1,200 ft. short of the runway. Procedures not followed. The pilot in command did not use decision height.",October,Missouri,US,Springfield,30.15326,-85.61132,4,3,1,4,3,1,4,0,0,0
521,20,1955,22:36,"Springfield, Missouri",American Airlines,711,Newark - Chicago - St. Louis - Springfield - Tulsa,Convair CV-240-0,0,The plane crashed 1.25 miles short of the runway while attempting to land. Crew's inattention to flight instruments during approach. Pilot sensory illusion which gave a  false impression of the aircraft's altitude.,March,Missouri,US,Springfield,30.15326,-85.61132,35,32,3,13,11,2,13,22,21,1
522,23,1974,16:55,"Springfield, Illinois",Saturn Airways,711,"Alameda, CA - Indianapolis, IN",Lockheed L-100-30 Hercules,0,"While en route the left wing separated from the aircraft. The plane crashed out of contol. The undiscovered, preexisting fatigue cracks, which reduced the strength of the left wing to the degree that it failed as a result of positive aerodynamic loads created by moderate turbulence.",May,Illinois,US,Springfield,30.15326,-85.61132,3,1,2,3,1,2,3,0,0,0
523,29,2003,08:01,"Spokane, Washington",Ameriflight,1996,Seattle - Spokane,Swearingen SA227AT Merlin IVC,0,"The cargo plane struck trees one mile short of the runway. The pilot-in-command's failure to maintain proper glidepath alignment during an ILS approach in poor weather resulting in collision with trees and terrain. Contributing factors were the unreliable status of the primary (NAV 1) ILS receiver (leaving the pilot with only the secondary (NAV 2) ILS receiver), the low ceilings and trees.",November,Washington,US,Washington,38.89511,-77.03637,1,0,1,1,0,1,1,0,0,0
524,18,1994,01:56,"Spokane, Washington",Salair,1996,Spokane - Portland,Douglas DC-3C,0,"The cargo plane lost a right engine during takeoff. The plane tried to return to the airport but crashed. The failure of the pilot-in-command to maintain airspeed. Factors to the accident were: cylinder fatigue, dark night and stall encountered.",March,Washington,US,Washington,38.89511,-77.03637,2,0,2,2,0,2,2,0,0,0
525,13,1987,01:56,"Spokane, Washington",Military - U.S. Air Force,1996,Training,Boeing KC-135,1,Stalled and went into a spin during a low-level refueling practice. The stall was propagated by the wake of a B-52.,March,Washington,US,Washington,38.89511,-77.03637,6,0,6,6,0,6,7,0,0,0
526,20,1981,11:27,"Spokane, Washington",Cascade Airways,201,Moses Lake - Spokane,Beechcraft 99A,0,"During an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. A fire started in the area of the right engine and spread throughout the fuselage. A premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above MDA.",January,Washington,US,Washington,38.89511,-77.03637,9,7,2,7,5,2,7,2,2,0
527,10,1928,10:45,"Spokan, Washington",Spokane Airways,201,Colfax - Spokane,Beechcraft 99A,0,The aircraft crashed while attempting to land in fog.,December,Washington,US,Washington,38.89511,-77.03637,5,3,2,5,3,2,5,0,0,0
531,23,2002,19:45,"Spanish Fort, Alabama",Mid-Atlantic Freight,282,Mobile - Mongomery,Cessna 208B Cargomaster I,0,"While en route the pilot of the cargo plane radioed was in an uncontrolled descent. The plane impacted the water in Big Bateau Bay. The pilot's spatial disorientation, which resulted in loss of airplane control. Contributing to the accident was the night instrument meteorological conditions with variable cloud layers",October,Alabama,US,Spanish Fort,30.67491,-87.91527,1,0,1,1,0,1,1,0,0,0
534,18,1939,22:00,South of Gibraltar,Iberia Airlines,282,Alcante - Morocco,Junkers JU-52,0,Shot down by British anti-aircraft fire. Crashed 6 miles south of Europa Point.,December,Gibraltar,GI,Gibraltar,36.14474,-5.35257,10,7,3,10,7,3,10,0,0,0
535,08,2014,0241,South Indian Ocean,Malaysia Airlines,370,Kuala LumpurÂ - Beijing,Boeing 777-200,0,Radar contact was lost with the aircraft 2 hours into the flight at 0240. All indications are that the aircraft changed direction from its flight path and crashed in a remote part of the Indian Ocean southwest of Perth Australia. It is assumed all 227 passengers and crew of 12 perished.,March,India,IN,Indi,17.17735,75.9526,239,227,12,239,227,12,239,0,0,0
536,14,1965,19:30,"South Beach, New York",Air Taxi,370,Kuala LumpurÂ - Beijing,Beechcraft B-35,0,Crashed into the water. Undetermined cause.,February,New York,US,York,39.9626,-76.72774,2,1,1,2,1,1,2,0,0,0
541,01,1993,1150,"Sorong, Irian Jaya, Indonesia",Merpati Nusantara Airlines,370,Ambo - Sorong,Fokker F-28 Fellowship 3000,0,The plane overran the runway while attempting to land in rain and reduced visibility and crashed onto a beach.,July,Indonesia,ID,Sorong,-0.87956,131.26104,43,39,4,41,37,4,41,2,2,0
546,10,1976,10:07,"Somerset, Colorado",Sky Chopper  - Air Taxi,370,"Grand Junction, CO - Somerset, CO",Bell 47G3B1,0,Hit powerlines at 70 ft. AGL. Pilot failed to see and avoid obstructions.,June,Colorado,US,Somerset,37.09202,-84.60411,2,1,1,2,1,1,2,0,0,0
547,28,1978,10:30,"Solvang, California",Security Air,370,"Visalia, CA - Santa Barbara, CA - Santa Maria, CA",Aero Commander 500A,0,Continued VFR flight into adverse weather conditions.,February,California,US,California,38.3004,-76.50745,7,4,3,7,4,3,7,0,0,0
554,22,1975,17:30,"Sofia, Bulgaria",Balkan Bulgarian Airlines,-,Sofia - Varna,Antonov AN-24B,0,Crashed shortly after takeoff.,November,Bulgaria,BG,Sofia,42.69751,23.32415,48,45,3,3,2,1,3,45,43,2
555,04,1962,17:30,"Sofia, Bulgaria",Aeroflot,-,Sofia - Varna,Tupolev Tu-104B,0,Struck a mountain after losing an engine.,June,Bulgaria,BG,Sofia,42.69751,23.32415,5,0,5,5,0,5,5,0,0,0
556,10,1984,17:30,"Sofia, Bulgaria",Balkan Bulgarian Airlines,-,Berlin - Sofia,Tupolev TU-134A,0,The aircraft struck power lines and crashed into a forest during a snowstorm while attempting to land.  A go-around was attempted at 300 ft. but the plane struck power lines and crashed 2.5 miles short of the runway. The crew descended below decision altitude while trying to make visual contact with the runway.,January,Bulgaria,BG,Sofia,42.69751,23.32415,50,45,5,50,45,5,50,0,0,0
557,21,1971,17:30,"Sofia, Bulgaria",Balkan Bulgarian Airlines,-,Sofia IAP - Algiers,Ilyushin IL-18B,0,Crashed in adverse weather conditions shortly after taking off.,December,Bulgaria,BG,Sofia,42.69751,23.32415,73,62,11,28,26,2,28,45,36,9
558,02,1988,17:30,"Sofia, Bulgaria",Balkan Bulgarian Airlines,-,Sofia  - Varna,Yakovlev YAK-40,0,Crashed on takeoff from Sophia airport en route to Varna. In-flight fire. Possible crew error.,August,Bulgaria,BG,Sofia,42.69751,23.32415,37,33,4,28,26,2,28,9,7,2
559,10,1938,c 11:00,"Soest, Germany",Sabena,-,Brussells - Berlin,Savbia-Marchetti  S-73P,0,The aircraft broke-up in midair and crashed to the ground.Airport.,October,Germany,DE,Soest,51.57558,8.10619,20,16,4,20,16,4,20,0,0,0
561,28,1962,15:41,"Sochi, Russia",Aeroflot,415,Soddu - Beica,Antonov An-10A,0,"Struck a mountain while attempting to land. Changes in the approach patterns for Sochi Airport, not approved by the State aviation authorities and without informing the flight crews about it.  Inadequacies of flight control and crew training in the Sochi area and training for flights in mountainous regions in general.",July,Russia,RU,Sochi,43.59917,39.72569,81,74,7,81,74,7,81,0,0,0
562,24,1929,15:41,"Sochi, Russia",Ukvozduchput,415,Soddu - Beica,Kalinin K-4,0,Crashed under unknown circumstances.,August,Russia,RU,Sochi,43.59917,39.72569,1,0,1,1,0,1,1,0,0,0
564,10,2010,10:41,"Smolensk, Russia",Military - Polish Air Force,PLF 101,"Warsaw, Poland - Smolensk Russia",Tupolev 154M,0,"The military jet crashed and was destroyed while attempting to land in dense fog and poor visibility. The crew requested permission to carry out a trial approach to a decision height of 100 m and told the controller to expect a go-around. A few seconds before impact, the autopilot and autothrottle were disconnected in order to execute a go-around. The airplane impacted upsloping terrain at a distance of about 1,100 meters from the runway and 40 m to the left of extended centerline. The immediate cause of the accident was the failure of the crew to make a timely decision to proceed to an alternate airport although they were not once timely informed of the actual weather conditions at Smolensk, which were significantly lower than the established airport minima. Descent without visual contact with ground references to an altitude much lower than minimum descent altitude for a go-around,  in order to establish visual flight. No reaction to the numerous TAWS warnings which led to controlled flight into terrain, aircraft destruction and death of the crew and passengers.",April,Russia,RU,Smolensk,54.7818,32.0401,96,88,8,96,88,8,96,0,0,0
569,05,1993,11:12,"Skopje, Macedonia",Palair Macedonian,301,Skopje - ZÃ¼rich,Fokker 100,0,"The aircraft shuttered violently after takeoff,  rolled to the left, then right and crashed. Icing. Loss of roll controllability due to contamination on the wings with ice. Failure to de-ice the plane before taking off.",March,Macedonia,MK,Skopje,41.99646,21.43141,97,92,5,83,79,4,83,14,13,1
575,05,1960,14:39,"Siuna, Nicaragua",Lanica,394,Siuna - Bonanza,Curtiss C-46A-40-CU,0,Flew into a hill shortly after taking off. Engine failure due to a  fatigue crack at a valve.,April,Nicaragua,NI,Siuna,13.73321,-84.77725,18,14,4,2,1,1,2,16,13,3
576,02,1999,14:27,"Sittwe, Myanmar",Myanmar Airways,394,Yangon - Sittwe,Fokker F-27 Friendship 600,0,"The aircraft, carrying freight, flew into the side of a fog covered ridge, 8 km E of Sittwe, while on approach to Sittwe.",July,Myanmar,MM,Sittwe,20.14624,92.89835,8,4,4,8,4,4,8,0,0,0
578,05,1988,13:45,"Sitka, Alaska",Wrangell Air Service,394,Sitka - Petersburg,Britten-Norman BN-2A Islander,0,"The pilot encountered low ceilings, rain and fog while attempting to fly through a narrow mountain pass and successfully reversed course. He then flew into a small canyon off the main pass that terminated in a small glacier-covered bowl surrounded by steep rock walls. When it became apparent during a turn to reverse course that there was insufficient space to complete the maneuver before collision with a rock wall, the pilot retarded the throttles and crash landed on a glacier. Improper in-flight planning. Blind box canyon. Weight and balance exceeded. Rain fog.",September,Alaska,US,Sitka,57.05315,-135.33088,10,9,1,1,1,0,1,9,8,1
580,09,2011,14:24,"Sioux Falls, South Dakota",Quest Aviation,394,"Sioux Falls, SD - Rapid City, SD",Cessna 421C,0,Thirty seconds after taking off the air-taxi began trailing white smoke from the left engine. The pilot attempted to return to the airport when the nose dropped abruptly and the plane impacted the ground.,December,South Dakota,US,Sioux Falls,43.54997,-96.70033,4,3,1,4,3,1,4,0,0,0
582,02,1951,09:12,"Sioux City, Iowa",Mid Continent Airlines,16,"Kansas City, MO - Omaha, NB - Sioux City, Iowa",Douglas DC-3,0,"After a missed ILS approach , the pilot stalled the plane and crashed in poor weather conditions. A stall during a left turn too close to the ground to effect a recovery. Pilot error.",March,Iowa,US,Sioux City,42.49999,-96.40031,25,21,4,16,13,3,16,9,8,1
583,19,1989,16:00,"Sioux City, Iowa",United Air Lines,232,"Denver, CO - Chicago, IL",McDonnell Douglas DC-10-10,0,"Catastrophic failure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage. The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulic systems. The  failure was traced back to a manufacturing defect in the fan disk, which had microscopic cracks due to impurities. Subject of the 1992 TV-movie ""Crash Landing: The Rescue of Flight 232.""",July,Iowa,US,Sioux City,42.49999,-96.40031,298,287,11,112,111,1,112,186,176,10
584,26,1953,16:00,"Sinnai, Sardinia, Italy",Linee Aeree Italiane,232,Cagliari - Rome,Douglas DC-3,0,Crashed 10 miles east of Cagliari in the Sinnai mountains after a wing failed due to overstressing.,January,Italy,IT,Sinnai,39.30286,9.20283,19,15,4,19,15,4,19,0,0,0
586,18,1975,16:00,"Singa, Sudan",Sudan Airways,232,Cagliari - Rome,de Havilland Canada DHC-6 Twin Otter 100,0,Summary unavailable.,March,Sudan,SD,Singa,13.1483,33.93117,6,4,2,5,3,2,5,1,1,0
589,13,1954,16:00,"Signal Hill, California",Military - U.S. Air Force,232,"Williams AFB, AZ - Long Beach, CA",F-88 Sabre Jet,6,The jet fighter crashed into homes killing 6 people and destroying 3 homes while attempting to land at Long Beach Airport..,January,California,US,California,38.3004,-76.50745,1,0,1,1,0,1,7,0,0,0
604,15,1986,15:16,"Shiraz, Iran",Iran Air,343,Enshi - Wuhan,Boeing 737-286,0,Shiraz Airport was attacked by Iraqi aircraft. Passengers were deplaning at the time of the attack.,October,Iran,IR,Shiraz,29.61031,52.53113,80,40,4,3,40,4,3,77,0,0
610,28,1993,23:50,"Shelton, Nebraska",GP Express Airlines,343,Training,Beechcraft C99,0,"The deliberate disregard for Federal Aviation Regulations, GP Express procedures, and prudent concern for safety by the two pilots in their decision to execute an aerobatic manoeuvre during a scheduled check ride flight, and the failure of GP Express management to establish and maintain a commitment to instill professionalism in their pilots consistent with the highest levels of safety necessary for an airline operating scheduled passenger service.",April,Nebraska,US,Shelton,41.31649,-73.09316,2,0,2,2,0,2,2,0,0,0
613,21,2009,15:31,"Sharjah, United Arab Emirates",Azzi,343,"Sharjar, UAE- Khartoum, Sudan",Boeing 707-330C,0,"The cargo plane took off, banked to the right and crashed into the desert, 3km from the airport.",October,United Arab Emirates,AE,Sharjah,25.33737,55.41206,6,0,6,6,0,6,6,0,0,0
614,10,2004,11:40,"Sharjah, United Arab Emirates",Kish Airlines,1770,Kish Island - Sharjah,Fokker F-50,0,"The aircraft crashed on approach, 2 miles short of the runway while attempting an emergency landing at Sharjah. The plane crashed midway between two residential compounds. The flight data recorder showed that the two engines went into reverse 10 seconds before the accident.",February,United Arab Emirates,AE,Sharjah,25.33737,55.41206,46,40,6,43,37,6,43,3,3,0
615,15,1997,18:35,"Sharjah, United Arab Emirates",Tajikistan Airlines,3183,Dushanbe - Sharjah,Tupolev TU-154,0,The aircraft crashed and burned while making an attempt to land. A number of errors by the crew resulted in the acccident. Not maintaining the height indicated during the last contact with the ATC. Not following instructions from the ATC. Crew fatigue and turbulence in the area contributed to the accident.,December,United Arab Emirates,AE,Sharjah,25.33737,55.41206,86,77,9,85,77,8,85,1,0,1
616,03,1953,22:37,"Sharjah, United Arab Emirates",Orient Airways,3183,Karachi - Jeddah,Douglas DC-3,0,"Shortly after taking off, the aircraft entered a turn and crashed to the ground. The failure of the captain to supervise the first officer in flying the plane who was not able to fly on instruments in the dark.",August,United Arab Emirates,AE,Sharjah,25.33737,55.41206,25,21,4,1,1,0,1,24,20,4
617,10,1961,c 03:55,"Shannon, Ireland",President Airlines,3183,Shannon - Gander,Douglas DC-6B,0,The aircraft crashed into the Shannon River shortly after taking off in fog. Possible fault with the artificial horizon or aircraft's aileron tabs. Contributing factor was the weather and crew fatigue.,September,Ireland,IE,Shannon,52.70389,-8.86417,83,77,6,83,77,6,83,0,0,0
618,12,1976,17:22,"Shannon, Ireland",Aeroleasing - Air Taxi,3183,"Shannon, Ireland - Geneva, Switzerland",Piper PA-31T,0,The aircraft could not maintain a positive rate of climb on takeoff and crashed.,November,Ireland,IE,Shannon,52.70389,-8.86417,5,4,1,5,4,1,5,0,0,0
619,15,1956,01:35,"Shannon, Ireland",Swissair,3183,Gander - Shannon,Convair CV-440-11,0,"The plane was on delivery from San Diego to ZÃ¼rich via New York, Gander and Shannon. The crew broke off their GCA runway 23 approach after establishing visual reference, and turned for a runway 05 approach. The plane banked sharply, dropped and crashed. Error in judgement by pilot in executing  an abnormally steep turn onto final approach.",July,Ireland,IE,Shannon,52.70389,-8.86417,4,0,4,4,0,4,4,0,0,0
620,26,1960,01:35,"Shannon, Ireland",Alitalia,3183,Rome - Shannon - Gander -New York City,Douglas DC-7C,0,Lost altitude shortly after taking off and crashed. Cause unknown.,February,Ireland,IE,Shannon,52.70389,-8.86417,52,40,12,34,23,11,34,18,17,1
621,15,1948,02:35,"Shannon, Ireland",Pan American World Airways,1-10,Belgium - Shannon,Lockheed L-049-46 Constellation,0,"While executing a second instrument approach at Shannon Airport, the aircraft struck the ground 2,380 feet from the approach end of the intended runway, broke apart and burned. Continuation of an instrument approach to an altitude insufficient to clear the terrain. The failure of a fluorescent light may have been a contributing cause. The plane was named ""Clipper Empress of the Skies.""",April,Ireland,IE,Shannon,52.70389,-8.86417,31,21,10,30,20,10,30,1,1,0
625,28,2009,08:16,"Shanghai, China",Avient Aviation,324,"Shanghai, China - Bishkek, Kyrgyzstan",McDonnell Douglas MD-11F,0,"The cargo plane veered off the runway, crashed and burned after the tail struck the ground as it attempted to take off.",November,China,CN,Shanghai,31.22222,121.45806,7,0,7,3,0,3,3,4,0,4
626,21,1996,17:04,"Shanghai, China",China Flying Dragon Aviation (Feilong Airlines),324,Dalian - Shanghai,Harbin Yunshuji Y-12-II,0,The aircraft crashed into a mountain after deviating off course during a landing attempt.,June,China,CN,Shanghai,31.22222,121.45806,12,9,3,2,1,1,2,10,8,2
627,25,1946,1745,"Shanghai, China",CATA,48,Chunking - Shanghai,Douglas C-47,5,"In heavy fog, the aircraft struck the roof of a nearby building and cartwheeled into a neighborhood 1 mile from Lunghwa Airport killing some on the ground.",December,China,CN,Shanghai,31.22222,121.45806,11,7,4,11,7,4,16,0,0,0
628,09,1930,1745,"Shanghai, China",China National Aviation Corporation,48,Shanghai - Hankow,Loening C-W Air Yaht,0,"The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named ""Shanghai"".",December,China,CN,Shanghai,31.22222,121.45806,6,4,2,4,2,2,4,2,2,0
636,30,1999,02:42,"Seraing, Belgium",Nightexpress,114,"London, England - Frankfort, Germany",Beechcraft 99,0,The cargo plane lost both engines while on approach and crashed into a wooded area. Improper maintenace caused the engine failure. The crew did not follow company procedures.,June,Belgium,BE,Seraing,50.58362,5.50115,2,0,2,2,0,2,2,0,0,0
639,25,1989,07:48,"Seoul, South Korea",Korean Airlines,347,Seou - Ulsan,Fokker F-28 Fellowship 4000,0,"The plane crashed during takeoff after losing the left engine, directional control and overrunning the runway and catching fire.",November,South Korea,KR,Seoul,37.566,126.9784,52,46,6,1,1,0,1,51,45,6
640,19,1980,07:48,"Seoul, South Korea",Korean Airlines,347,Anchorage - Seoul,Boeing B-747-2B5B,0,Undershot runway and crashed while landing in fog. Crew error.,November,South Korea,KR,Seoul,37.566,126.9784,226,212,14,15,9,6,15,211,203,8
641,08,1967,c 11:00,"Seoul, South Korea",Military - Republic of South Korea Air Force,347,Yoido AB - Taegu,Curtiss-Wright C-46,44,"The aircraft crashed shortly after taking off from Yoido Air Base into the residential neighborhood of Chonggu-dong, a suburb of Seoul. The accident took place in rain and fog.",April,South Korea,KR,Seoul,37.566,126.9784,15,12,3,15,12,3,59,0,0,0
643,25,1991,15:00,"Sena, Mozambique",STASA,347,Yoido AB - Taegu,Douglas C-47B-DK,0,The cargo plane overshot the runway and crashed into trees.,November,Mozambique,MZ,Mozambique,-15.03466,40.73447,3,0,3,1,0,1,1,2,0,2
644,28,1971,15:00,"Sena Madureira, Brazil",Cruzeiro,347,Cruzerio do Sul - Rio Branco,Douglas DC-3,0,The aircraft tried to return to the airport after an engine fire but the right wing struck trees and it crashed in the Amazon jungle.,September,Brazil,BR,Sena Madureira,-9.06341,-68.67245,32,28,4,32,28,4,32,0,0,0
649,14,1953,02:22,"Selleck, Washington",Miami Airlines,256,Spokane - Ellenburgh,Douglas DC-3 (C-47-DL),0,"The aircraft crashed into Cedar Mountain following double engine failure. The progressive failure of both engines, due to the lack of compliance with proper maintenance standards. Spark plugs in both engines had been operated beyond their normal maintenance inspection period and exhibited evidence of a condition conducive to detonation and preignition. There was evidence that detonation and preignition took place in both engines and that  they ultimately failed as a result of master rod bearing failures.",April,Washington,US,Washington,38.89511,-77.03637,25,22,3,7,5,2,7,18,17,1
